2067.6	393.53	142.7	81.8
2062.23	397.49	140.03	82.39
2056.87	401.46	137.35	82.98
2051.5	405.43	134.68	83.57
2041.15	401.7	135.45	96
2030.8	413.36	139.3	93.04
2024.96	417.33	137.1	92.61
2019.12	421.3	134.9	92.18
2013.28	425.27	132.7	91.75
2007.44	429.23	130.5	91.33
2001.6	433.2	128.3	90.9
1996.78	433.9	128.49	93.42
1991.95	434.6	128.68	95.93
1987.13	435.3	128.87	98.45
1982.3	438.68	128.18	98.28
1977.48	442.05	127.47	98.13
1972.66	445.43	126.77	97.97
1967.83	448.8	126.07	97.81
1963.01	448.3	128.29	101.53
1958.19	447.3	122.21	105.74
1953.36	452.7	114.34	103.56
1950.99	450.7	113.81	111.53
1944	454.2	108.1	106.7
1939.4	461.83	104.14	101.37
1934.3	478.6	95.2	87.5
1931.7	477.5	103.4	92.8
1930.5	479.3	103	97.7
1930.87	481.1	101.03	105.6
1929.5	487	96.4	105.8
1929.56	487.3	93.64	117.1
1929.63	515.2	53.97	100.8
1928.63	506.4	60.62	110.45
1927.64	497.6	67.26	120.1
1926.65	491.6	69.35	124.2
1925.66	496.5	54.84	122.9
1924.66	498.4	53.54	130.26
1923.67	508.96	47.23	124.37
1922.68	519.51	46.62	118.48
1921.69	530.07	46.01	112.59
1920.69	540.63	45.41	106.69
1919.7	551.19	44.8	100.8
1919.62	553.79	44.34	102.5
1919.54	556.39	43.88	104.21
1919.46	558.99	43.42	105.91
1911.5	553.2	52.68	114.67
1910.67	555.23	54.82	115.61
1909.83	557.27	56.96	116.54
1909	559.3	59.1	117.49
1904.9	554.4	68.5	125.36
1911.9	565.4	54.35	117.33
1905.1	577.2	62.3	108.5
1903.26	581.33	63.31	107.97
1901.42	585.46	64.32	107.44
1899.58	589.59	65.33	105.54
1897.74	593.72	66.34	103.65
1895.9	597.85	67.35	101.75
1904	601.98	58.42	99.37
1912.1	606.11	49.49	96.99
1900.32	610.24	60.44	94.56
1888.54	614.37	71.39	92.13
1886.7	618.5	72.4	84
1880.34	619.7	90.56	85.4
1872.82	622.9	113.78	85.95
1865.3	630.7	117.1	81.9
1859.27	635.4	115.38	79.47
1853.24	640.1	113.66	77.04
1851	640.9	109.9	80
1841.19	650.9	124.51	70.79
1835.16	653.3	134.24	70.66
1829.13	659.65	131.67	66.58
1823.1	666	129.1	62.5
1815.23	667.46	128.05	63.69
1807.37	668.92	126.99	64.88
1799.5	670.38	125.94	70.72
1795.66	667.8	126.54	78.94
1791.82	664.9	124.18	81.4
1787.97	671.25	119.95	81.91
1784.13	677.6	115.71	82.42
1780.29	676.27	111.47	90.61
1776.44	674.93	107.24	98.81
1772.6	673.6	103	107
1767.47	679.1	95.18	108.77
1762.34	684.6	87.36	110.54
1757.21	684.2	84.89	118.21
1752.08	683.8	82.42	125.88
1746.95	692.57	83.03	124.38
1741.82	701.33	83.65	122.89
1736.69	710.1	84.26	121.39
1731.56	718.87	84.87	119.89
1726.43	727.63	85.49	118.4
1721.3	736.4	86.1	116.9
1716.44	741.39	89.78	118.98
1711.59	746.38	93.45	121.05
1706.73	751.37	97.14	123.13
1701.88	756.36	100.81	125.21
1697.02	761.34	104.49	127.29
1692.17	766.33	108.16	129.37
1687.31	771.32	111.85	131.45
1682.46	776.31	115.52	133.52
1677.6	781.3	119.2	135.6
1676.1	792.3	122.1	129.1
1671.51	796.05	120.41	131.78
1666.92	799.8	118.72	134.46
1662.33	803.55	117.03	137.14
1657.74	807.3	115.34	139.82
1653.15	811.05	113.65	142.5
1648.56	814.8	111.96	145.18
1643.97	818.55	110.27	147.86
1639.38	822.3	108.58	150.54
1634.79	826.05	106.89	153.22
1630.2	829.8	105.2	155.9
1623.77	833.6	109.43	155.32
1617.34	838.4	107.26	153.73
1610.91	843.2	108.59	152.15
1604.47	848	109.93	150.56
1598.04	855.43	118.46	146.35
1591.61	862.87	126.99	142.12
1585.18	870.3	135.52	137.91
1578.75	877.73	144.05	133.7
1572.32	885.17	152.58	129.47
1565.88	892.6	161.12	125.26
1561.29	897.5	165.81	124.8
1556.7	902.3	164.8	124.44
1552.1	907.1	163.8	124.08
1547.51	913.2	164.39	122.42
1542.92	914.75	160.28	125.31
1538.32	916.3	156.18	128.2
1533.73	916.85	154.17	132.09
1529.13	917.4	152.17	135.98
1524.54	925.65	149.36	132.17
1519.95	933.9	146.55	128.37
1515.5	936.83	148.77	130.8
1511.06	939.77	150.97	133.22
1506.61	942.7	153.19	135.66
1502.17	948.7	154.83	135.02
1497.72	951.98	152.06	137.1
1493.28	955.27	149.29	139.18
1488.83	958.55	146.52	141.26
1484.39	961.83	143.74	143.34
1479.94	965.12	140.98	145.42
1475.5	968.4	138.2	147.5
1470.23	972.23	139.27	147
1464.97	976.06	140.33	146.51
1459.7	979.89	141.4	146.01
1454.41	983.35	141.59	143.31
1449.12	986.81	146.61	140.61
1443.83	990.28	151.62	137.9
1438.54	993.74	156.64	135.2
1433.25	997.2	161.65	132.49
1427.96	1009.8	171.24	120.65
1422.67	1006.7	161.93	124.51
1409.66	1010.93	167.21	122.33
1396.65	1015.17	172.49	120.14
1383.63	1019.4	177.78	117.96
1370.62	1023.63	183.06	115.77
1357.61	1027.87	188.34	113.58
